"","cement","slag","ash","water","superplastic","coarseagg","fineagg","age","strength"
"774",382,0,0,186,0,1047,739,28,37.42
"775",382,0,0,186,0,1111,784,7,11.47
"776",281,0,0,186,0,1104,774,28,22.44
"777",339,0,0,185,0,1069,754,7,21.16
"778",339,0,0,185,0,1069,754,28,31.84
"779",295,0,0,185,0,1069,769,7,14.8
"780",295,0,0,185,0,1069,769,28,25.18
"781",238,0,0,185,0,1118,789,28,17.54
"782",296,0,0,192,0,1085,765,7,14.2
"783",296,0,0,192,0,1085,765,28,21.65
"784",296,0,0,192,0,1085,765,90,29.39
"785",331,0,0,192,0,879,825,3,13.52
"786",331,0,0,192,0,978,825,7,16.26
"787",331,0,0,192,0,978,825,28,31.45
"788",331,0,0,192,0,978,825,90,37.23
"789",349,0,0,192,0,1047,806,7,18.13
"790",349,0,0,192,0,1047,806,28,32.72
"791",349,0,0,192,0,1047,806,90,39.49
"792",349,0,0,192,0,1047,806,180,41.05
"793",349,0,0,192,0,1047,806,360,42.13
"794",302,0,0,203,0,974,817,14,18.13
"795",302,0,0,203,0,974,817,180,26.74
"796",525,0,0,189,0,1125,613,180,61.92
"797",500,0,0,200,0,1125,613,90,47.22
"798",500,0,0,200,0,1125,613,180,51.04
"799",500,0,0,200,0,1125,613,270,55.16
"800",540,0,0,173,0,1125,613,3,41.64
"801",252,0,0,185,0,1111,784,7,13.71
"802",252,0,0,185,0,1111,784,28,19.69
"803",339,0,0,185,0,1060,754,28,31.65
"804",393,0,0,192,0,940,758,3,19.11
"805",393,0,0,192,0,940,758,28,39.58
"806",393,0,0,192,0,940,758,90,48.79
"807",382,0,0,185,0,1047,739,7,24
"808",382,0,0,185,0,1047,739,28,37.42
"809",252,0,0,186,0,1111,784,7,11.47
"810",252,0,0,185,0,1111,784,28,19.69
"811",310,0,0,192,0,970,850,7,14.99
"812",310,0,0,192,0,970,850,28,27.92
"813",310,0,0,192,0,970,850,90,34.68
"814",310,0,0,192,0,970,850,180,37.33
"815",310,0,0,192,0,970,850,360,38.11
